Time,Degree
16/7/2013,25.9417
17/7/2013,25.9
18/7/2013,27.8458
19/7/2013,26.9842
20/7/2013,27.2417
21/7/2013,27.55
22/7/2013,27.6875
23/7/2013,27.2625
24/7/2013,25.6348
25/7/2013,25.9
26/7/2013,26.0833
27/7/2013,27.1458
28/7/2013,27.5958
29/7/2013,28.3522
30/7/2013,29.5773
31/7/2013,29.3348
1/8/2013,27.9583
2/8/2013,26.4208
3/8/2013,28.4625
4/8/2013,29.1833
5/8/2013,29.4625
6/8/2013,29.7542
7/8/2013,28.8458
8/8/2013,29.525
9/8/2013,29.85
10/8/2013,29.8708
11/8/2013,29.8833
12/8/2013,30.9417
13/8/2013,26.6417
14/8/2013,26.875
15/8/2013,28.1958
16/8/2013,27.8792
17/8/2013,28.413
18/8/2013,28.125
19/8/2013,27.75
20/8/2013,29.0458
21/8/2013,29.2833
22/8/2013,29.2917
23/8/2013,28.2042
24/8/2013,27.9875
25/8/2013,27.65
26/8/2013,28.987
27/8/2013,29.4292
28/8/2013,29.85
29/8/2013,29.625
30/8/2013,26.9208
31/8/2013,26.0833
1/9/2013,27.5208
2/9/2013,27.1458
3/9/2013,26.2125
4/9/2013,24.4458
5/9/2013,24.2542
6/9/2013,26.8042
7/9/2013,27.6542
8/9/2013,28.1417
9/9/2013,28.2958
10/9/2013,28.6458
11/9/2013,28.3792
12/9/2013,28.5167
13/9/2013,27.5167
14/9/2013,28.2167
15/9/2013,28.0875
16/9/2013,28.3167
17/9/2013,27.7417
18/9/2013,27.825
19/9/2013,28.6208
20/9/2013,29.6167
21/9/2013,31.6417
22/9/2013,26.4875
23/9/2013,28.5083
24/9/2013,27.975
25/9/2013,28.0583
26/9/2013,26.9
27/9/2013,26.7792
28/9/2013,26.3417
29/9/2013,25.4458
30/9/2013,25.8708
1/10/2013,27.1625
2/10/2013,27.7042
3/10/2013,26.7524
4/10/2013,26.0333
5/10/2013,26.5083
6/10/2013,27.975
7/10/2013,28.3292
8/10/2013,26.6542
9/10/2013,27.2208
10/10/2013,27.1125
11/10/2013,27.9333
12/10/2013,27.4792
13/10/2013,27.125
14/10/2013,26.1375
15/10/2013,26.8667
16/10/2013,25.5
17/10/2013,24.2792
18/10/2013,25.1208
19/10/2013,25.2292
20/10/2013,25.3083
21/10/2013,24.7583
22/10/2013,24.9917
23/10/2013,24.3958
24/10/2013,24.4625
25/10/2013,23.2083
26/10/2013,22.0708
27/10/2013,22.3
28/10/2013,23.1292
29/10/2013,23.9083
30/10/2013,24.1667
31/10/2013,24.7542
1/11/2013,26.1583
2/11/2013,26.1375
3/11/2013,24.8208
4/11/2013,22.35
5/11/2013,22.9478
6/11/2013,24.3958
7/11/2013,24.1292
8/11/2013,24.1708
9/11/2013,26.0826
10/11/2013,25.1542
11/11/2013,23.2708
12/11/2013,21.6083
13/11/2013,20.5333
14/11/2013,20.7043
15/11/2013,21.925
16/11/2013,21.4417
17/11/2013,21.2458
18/11/2013,20.5958
19/11/2013,20.3542
20/11/2013,19.8667
21/11/2013,20.7542
22/11/2013,21.3083
23/11/2013,22.0167
24/11/2013,21.7417
25/11/2013,19.5708
26/11/2013,19.9875
27/11/2013,18.3833
28/11/2013,15.6208
29/11/2013,14.9083
30/11/2013,16.3583
1/12/2013,17.2042
2/12/2013,18.5167
3/12/2013,18.5625
4/12/2013,19.2083
5/12/2013,18.1542
6/12/2013,19.0353
7/12/2013,19.6583
8/12/2013,20.425
9/12/2013,21.7875
10/12/2013,20.0333
11/12/2013,18.6083
12/12/2013,18.2667
13/12/2013,19.55
14/12/2013,18.2833
15/12/2013,16.4458
16/12/2013,12.8417
17/12/2013,11.4917
18/12/2013,10.7667
19/12/2013,12.6292
20/12/2013,14.5625
21/12/2013,13.925
22/12/2013,13.3625
23/12/2013,14.9
24/12/2013,15.1542
25/12/2013,15.0167
26/12/2013,14.3792
27/12/2013,12.387
28/12/2013,11.7545
29/12/2013,12.3375
30/12/2013,14.2783
31/12/2013,15.5583
1/1/2014,15.8583
2/1/2014,17.65
3/1/2014,19.9625
4/1/2014,17.8667
5/1/2014,16.3625
6/1/2014,16.8833
7/1/2014,18.3375
8/1/2014,17.7043
9/1/2014,15.3625
10/1/2014,15.3958
11/1/2014,16.3458
12/1/2014,17.1125
13/1/2014,13.1292
14/1/2014,13.5417
15/1/2014,13.325
16/1/2014,14.2167
17/1/2014,15.8167
18/1/2014,15.8958
19/1/2014,14.65
20/1/2014,16.375
21/1/2014,14.2792
22/1/2014,13.5292
23/1/2014,13.6875
24/1/2014,16.5217
25/1/2014,18.8167
26/1/2014,16.7437
27/1/2014,16.3958
28/1/2014,17.2375
29/1/2014,17.9792
30/1/2014,19.1826
31/1/2014,19.9609
1/2/2014,19.7833
2/2/2014,20.0217
3/2/2014,20.7875
4/2/2014,17.4435
5/2/2014,17.3333
6/2/2014,19.1667
7/2/2014,19.725
8/2/2014,16.5333
9/2/2014,12.5042
10/2/2014,8.7458
11/2/2014,8.3125
12/2/2014,9.1667
13/2/2014,8.6391
14/2/2014,11.0667
15/2/2014,12.7958
16/2/2014,14.8625
17/2/2014,18.313
18/2/2014,14.8708
19/2/2014,9.2435
20/2/2014,13.4917
21/2/2014,13.9333
22/2/2014,15.0083
23/2/2014,16.4583
24/2/2014,17.6708
25/2/2014,18.8458
26/2/2014,20.6125
27/2/2014,19.2
28/2/2014,18.4167
1/3/2014,20.3435
2/3/2014,17.8348
3/3/2014,15.7391
4/3/2014,17.125
5/3/2014,16.2542
6/3/2014,15.025
7/3/2014,14.6435
8/3/2014,15.1682
9/3/2014,14.6739
10/3/2014,14.3864
11/3/2014,15.3875
12/3/2014,18.8174
13/3/2014,19.6667
14/3/2014,16.4708
15/3/2014,16.35
16/3/2014,18.7708
17/3/2014,20.8696
18/3/2014,22.3905
19/3/2014,22.2625
20/3/2014,20.5292
21/3/2014,16.1708
22/3/2014,17.5125
23/3/2014,18.381
24/3/2014,20.1739
25/3/2014,22.4045
26/3/2014,22.4957
27/3/2014,23.9682
28/3/2014,22.325
29/3/2014,21.8167
30/3/2014,21.7792
31/3/2014,20.2091
1/4/2014,19.9
2/4/2014,19.2792
3/4/2014,19.7458
4/4/2014,20.3
5/4/2014,21.2458
6/4/2014,18.613
7/4/2014,19.5417
8/4/2014,20.1667
9/4/2014,22.9
10/4/2014,21.987
11/4/2014,22.987
12/4/2014,24.2091
13/4/2014,25.0875
14/4/2014,21.9875
15/4/2014,21.9542
16/4/2014,22.3783
17/4/2014,24.3083
18/4/2014,25.0417
19/4/2014,25.0792
20/4/2014,25.6304
21/4/2014,23.4333
22/4/2014,25.0167
23/4/2014,21.7
24/4/2014,21.8375
25/4/2014,22.8696
26/4/2014,23.1458
27/4/2014,25.9091
28/4/2014,24.925
29/4/2014,23.9952
30/4/2014,23.0458
1/5/2014,22.9739
2/5/2014,24.3083
3/5/2014,24.1875
4/5/2014,22.3417
5/5/2014,21.2917
6/5/2014,19.825
7/5/2014,20.8375
8/5/2014,22.2
9/5/2014,21.8
10/5/2014,23.9542
11/5/2014,24.3217
12/5/2014,26.3958
13/5/2014,27.9042
14/5/2014,28.8125
15/5/2014,28.6625
16/5/2014,28.2083
17/5/2014,28.5
18/5/2014,28.7458
19/5/2014,28.6375
20/5/2014,26.025
21/5/2014,28.225
22/5/2014,28.9292
23/5/2014,26.7333
24/5/2014,28.5958
25/5/2014,29.4292
26/5/2014,29.5833
27/5/2014,29.6125
